"","CL3","CC1","SV1","M31Fcsw","M11Fcsw","M31Plmr","M11Plmr","F21Plmr","M31Tong","M11Tong","LMEpi24M","SLEpi20M","AQC1cm","AQC4cm","AQC7cm","NP2","NP3","NP5","TRRsed1","TRRsed2","TRRsed3","TS28","TS29","Even1","Even2","Even3"
"313723",0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"238963",69,232,2352,0,0,0,0,0,2,1,0,0,1,1,0,0,1,0,0,2,0,2,0,1,4,13
"12808",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"139950",114,530,28,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,2,0
"531775",171,1638,2066,1,2,32,38,41,1,0,3,1,1,2,1,0,1,0,2,6,2,0,0,1,11,11
"273055",546,2069,11979,2,0,43,61,83,6,1,1,1,8,26,11,0,2,5,12,19,12,6,5,8,13,67
"536662",90,166,206,0,1,0,0,0,1,0,0,0,2,1,0,0,0,0,1,0,1,0,0,0,1,0
"250002",121,128,209,0,0,2,1,0,0,0,0,0,2,0,0,0,1,0,1,2,0,1,0,0,0,1
"12896",333,386,772,2,0,0,0,2,0,0,0,0,3,28,5,0,0,2,0,0,0,1,0,5,3,3
"112936",250,233,12,0,0,2,0,14,0,0,0,0,0,0,0,0,1,1,0,7,4,0,0,1,3,0
"33446",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0
"166311",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"102598",517,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"11816",1,12,2,0,0,0,0,1,0,0,0,0,5,11,13,0,0,0,0,0,0,0,0,0,0,0
"128098",1830,371,1380,1,1,43,57,27,6,0,2,6,55,81,138,1,1,1,0,165,75,0,1,12,1,7
"574226",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"236179",33,115,190,0,0,2,8,1,0,0,3,1,3,3,2,0,0,0,0,0,0,2,0,0,2,2
"11451",106,219,232,0,0,1,0,0,0,0,7,1,72,80,82,3,0,0,0,0,0,0,1,0,1,1
"11441",70,329,6602,1,1,22,51,25,1,2,16,9,17,2,7,0,2,1,1,10,1,0,2,2,2,19
"383931",16,235,910,0,0,17,38,8,0,0,1,0,0,0,0,0,0,0,0,3,3,0,1,0,0,3
"257316",11,43,232,0,0,0,29,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"24568",10,59,155,0,0,0,28,1,0,0,8,0,3,7,1,0,0,0,0,0,0,0,0,0,2,1
"242751",2,5,22,0,0,21,88,22,0,1,5,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"242450",4,47,107,0,0,12,37,24,3,2,118,18,7,66,91,23,87,52,4,3,2,1,0,0,0,1
"546690",8,70,54,0,0,32,120,3,27,1,120,11,5,5,0,0,2,0,0,1,0,1,0,0,0,0
"207157",5,11,34,0,0,20,17,1,0,9,839,11,8,3,4,1,0,1,0,2,0,0,0,0,0,0
"269755",1,18,3,0,3,1,5,0,4,98,6428,39,3,3,9,8,32,16,3,0,0,0,1,1,0,4
"240200",5,7,18,0,6,0,5,2,19,127,10512,1232,25,15,29,585,1340,675,2,5,1,1,1,7,6,7
"398836",5,49,54,2,5,14,26,5,3,88,6436,449,18,29,29,142,785,381,3,2,0,0,0,1,0,6
"558949",1,8,225,0,0,0,0,0,1,4,84,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"177797",8,93,147,0,0,34,63,29,1,0,162,30,40,45,57,0,0,0,0,2,3,0,0,1,1,0
"292764",57,255,88,0,0,66,82,12,1,7,425,50,3,8,3,5,21,18,1,1,0,0,1,0,0,0
"130665",1,6,48,0,0,1,1,0,1,0,56,0,0,0,2,1,3,0,0,0,0,0,0,0,0,1
"101628",0,1,8,0,0,1,0,0,1,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"176072",1,6,40,0,0,1,3,2,0,0,8,0,3,1,2,0,1,0,1,1,0,1,1,0,0,1
"79881",0,26,59,0,0,5,13,4,0,0,33,0,1,1,6,0,0,0,0,0,0,0,0,1,0,0
"19936",1,2,2,0,0,56,17,7,0,0,141,17,3,1,0,0,0,0,0,0,0,0,0,0,0,1
"112266",10,28,27,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
"50557",0,31,3,0,0,1,1,2,0,0,4,1,2,9,7,2,2,1,0,0,0,0,0,0,1,0
"130238",1,14,2,0,0,1,2,0,0,3,206,1,1,2,3,0,1,0,0,0,0,0,0,0,0,0
"35440",11,68,23,0,0,63,108,29,0,1,120,17,3,5,2,0,0,0,0,3,1,0,0,0,1,0
"556066",18,196,187,1,4,48,244,65,7,91,5672,70,28,76,46,9,46,14,1,0,2,0,1,1,1,3
"29284",1,135,2,0,0,4,93,2,1,0,0,5,2,2,3,0,0,0,7,14,2,0,0,0,3,0
"145846",0,290,0,0,1,75,140,63,2,0,0,1,1,2,2,0,0,0,0,2,1,0,0,0,3,0
"239951",17,19,8,0,0,10,468,11,12,0,8,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0
"255731",4,292,2,0,0,7,29,1,1,0,1,3,0,1,1,0,0,0,0,2,2,0,0,0,1,0
"236808",15,966,152,0,0,22,55,31,2,0,5,12,34,72,85,2,0,0,0,10,2,0,0,1,3,2
"40713",0,0,0,0,0,5,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"529501",0,0,1,0,0,156,597,16,1,0,1,1,0,0,0,0,1,1,0,3,0,0,1,0,0,0
"12533",1,0,0,0,0,17,285,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"12541",0,4,2,0,0,26,43,7,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"369064",5,65,2,0,0,38,1331,36,159,8,5,3,0,2,0,0,0,1,1,3,0,0,0,0,2,0
"109814",1,21,0,0,0,9,12,6,78,3,3,1,1,0,0,0,0,0,4,6,2,0,0,0,0,0
"157133",0,0,1,0,0,16,51,8,76,1,0,0,0,0,1,0,0,2,0,5,1,0,0,0,0,2
"104526",1,44,3,0,0,7,7,1,1,0,0,1,0,0,0,0,0,0,20,12,1,0,0,0,0,0
"12321",2,72,395,0,0,12,50,54,0,1,13,4,1,1,1,1,2,0,0,1,1,0,0,0,1,0
"557925",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12340",2,8,10,0,0,35,7,14,0,0,1,0,2,0,0,1,0,0,0,3,1,0,0,0,0,0
"249637",6,79,47,0,0,10,42,21,4,4,61,108,11,10,12,20,83,55,2,6,1,0,0,0,0,0
"12343",2,63,94,0,0,39,43,31,0,0,2,1,4,33,51,0,1,1,0,3,1,0,0,0,0,0
"103561",2,2,7,0,1,30,14,4,4,0,0,0,3,0,0,0,1,1,2,1,0,0,0,0,0,0
"139651",11,27,75,0,0,12,74,32,0,0,23,4,0,7,13,11,42,32,0,13,1,0,0,1,1,0
"72525",0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"238919",0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"152486",1,4,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1
"102216",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99714",14,4,2,0,0,1,1,0,0,0,6,0,1,1,1,1,1,1,0,2,3,0,0,0,0,0
"12592",0,0,0,0,0,37,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"524457",0,1,3,0,1,32,12,6,167,6,3,0,3,0,0,0,0,1,0,0,1,0,0,1,1,0
"584347",32,7,4,22,13,11657,517,6478,8127,378,41,5,12,14,7,9,7,12,7,1,1,17,29,3,3,3
"470693",0,0,0,29,0,105,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"131712",0,0,0,769,1,190,89,8,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,0,0
"266173",3,0,0,0,2,413,1037,19,0,1,2,0,0,0,0,0,0,4,0,3,0,0,1,0,0,0
"538876",1,1,2,0,0,37,15,18,1,1,1,4,0,0,0,0,0,1,0,2,0,0,0,0,0,0
"230376",2,2,0,0,1,298,4,7,51,0,2,0,0,0,0,0,2,3,0,4,0,0,0,0,0,0
"567669",13,56,74,1,1,616,4506,1700,32,11,39,22,4,10,10,17,64,75,6,24,16,1,0,0,2,1
"471141",9,28,17,20,23,16557,652,2912,109399,1684,841,32,90,37,83,11,38,191,22,34,14,24,21,48,45,18
"193899",1,1,2,0,0,584,6,7,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"140877",0,0,0,0,0,6,18,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"100937",2,8,0,2,2,3944,12250,576,18,14,12,3,8,3,2,0,10,8,0,3,1,2,2,3,0,3
"317982",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"107764",0,37,13,0,0,14,56,17,1,0,1,1,0,2,3,0,0,0,0,1,0,0,0,1,0,0
"270098",209,1942,443,1,0,536,712,439,3,3,0,24,19,44,61,0,2,2,2,81,51,1,2,3,6,2
"272208",0,0,1,12,1,464,612,64,1,0,2,1,0,0,2,0,1,4,2,98,13,1,0,0,0,0
"470219",10,14,11,60,30,39331,42026,10597,143,82,52,36,23,28,11,4,23,18,9,18,16,21,16,13,6,17
"241543",4,196,13,0,0,317,791,59,3,1,0,62,1,3,3,1,12,0,1,29,19,0,0,0,1,2
"108829",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"185640",143,15,42,0,0,3,30,0,0,0,0,0,0,2,0,0,0,0,0,20,12,0,0,1,0,1
"142287",15,30,87,0,0,1,102,13,0,0,0,1,2,2,3,0,0,0,0,24,2,0,0,4,0,0
"154902",1,1,3,0,0,97,5380,39,13,4,10,0,3,1,2,0,2,0,1,5,11,1,0,1,0,2
"100442",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20974",3,1,3,0,0,7,998,2,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"13034",8550,6230,1485,2,2,138,2961,61,7,9,110,2884,2107,3790,3749,17,9,8,5,210,217,7,13,77,23,5
"12620",0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"86784",0,0,0,0,0,64,3,450,4,1,2,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
"72858",2,3,11,0,0,6,3,10,0,6,64,0,0,1,1,0,0,1,0,0,0,0,0,2,0,0
"326977",125,140,87,818,391,22,77,19,111,41,45,18,1253,26,23,7,45,34,186,20,1045,26763,128069,104181,78223,88654
"470460",0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"540449",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"561904",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"335847",0,0,0,0,0,0,0,0,0,0,0,0,20,82,41,0,0,0,0,0,0,0,0,0,0,0
"227609",0,0,1,0,0,0,0,0,0,0,2,0,46,98,63,0,0,0,0,0,0,0,0,0,0,0
"38741",521,50,135,1,0,789,42,1497,115,51,14,8,102,117,110,1,4,1,1,116,3,0,1,5,1,2
"519715",0,0,0,0,0,0,0,0,1,0,5,2,30,173,165,2,0,0,0,0,0,0,0,0,0,0
"326880",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,17,28,27,0,0,0,1,0
"212910",2,4,0,0,0,1,0,0,2,1,20,18,495,4196,4734,27,4,2,32,266,323,2,1,7,1,0
"101310",0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,4,84,132,75,1,0,0,0,0
"251576",36,19,0,0,1,0,0,1,0,1,0,4,8,3,13,0,3,5,129,651,619,2,0,12,3,2
"550451",1,0,0,0,0,0,0,0,0,1,1,2,81,490,447,4,0,0,2,1,0,0,0,1,0,0
"4386",0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0
"584418",0,7,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"249529",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"129416",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0
"192132",1,0,0,1396,14,5,0,8,1,2,2,2,3,0,0,0,0,0,0,0,1,5,314,1,0,1
"407754",0,0,0,0,57,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51535",55,8,3,3536,514,0,25,4,2,1,2,7,90,247,125,3,10,4,4,51,68,2,0,2,0,0
"23777",0,0,0,0,0,7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"407576",0,0,0,0,0,0,123,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74391",1,3,5,5,6,15084,484,2065,12335,1097,21,15,7,5,4,3,8,28,7,3,3,5,1,7,3,4
"110394",0,0,0,0,0,0,0,1,1,0,0,0,6,0,0,0,375,67,0,6,0,0,0,0,0,0
"591820",0,0,0,0,0,0,0,0,1,0,0,130,15,13,1,0,0,1,0,0,0,0,1,0,0,0
"64396",1258,218,340,27,50,36638,1449,15532,99446,6581,202,43,83,59,37,20,43,228,33,21,17,14,12,39,22,27
"332164",3047,471,889,2,0,49,2,3,22,1,0,1,2,0,2,2,30,25,1,0,0,1,0,10,1,5
"11302",0,0,0,0,0,5,0,0,0,0,0,13,5,1,0,0,9,2,0,0,0,0,0,0,0,0
"429439",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"591314",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60702",5,0,0,1,0,745,0,0,19,12,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0
"15828",0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15703",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"274442",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4,103,11,0,0,0,0,0,0,0,0
"287510",49,18,10,1,2,29,0,1,4,4,2,0,35,6,4,2,8,1,26,3,83,23,3,14747,8716,13640
"129426",0,0,0,0,0,19,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"191700",0,0,0,48,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,132,663,6,4,1
"470139",44,33,43,4574,1418,18,21,7,14,3,3,4,75,9,6,4,4,5,51,1,170,681,68,26708,14320,21134
"381629",3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"259270",21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19191",0,1,0,5,1,722,48,29,548,15,1,1,0,0,0,0,0,0,0,0,0,5,0,4,5,6
"470522",5,11,4,378,51,1,1,3,2,3,0,0,18,1,0,0,3,1,14,2,36,180,232,4972,2641,4323
"77904",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"588461",0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,0,0,0,0,0,0,0,0,0,0,0
"293999",167,31,96,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"242305",0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0
"99344",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"565556",40,224,14575,2,4,6,15,0,4,1,3,16,1689,80,5,2,15,5,10,2,1,2,13,10,5,64
"82269",0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
"143213",0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0
"3232",0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"221509",1,0,0,0,1,0,0,0,2,0,2,0,320,236,101,0,1,0,0,0,0,0,1,3,0,0
"268560",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
"3112",0,0,6,0,0,0,0,1,10,173,20714,5,9,13,20,1,0,3,5,1,0,0,1,2,1,13
"149457",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"308876",0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,155,2,147,0,0,0,0,0,2,0,0
"271091",0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"93641",0,0,0,0,0,0,0,0,0,0,3,1,7,4,4,0,0,0,0,0,0,0,0,0,0,0
"71326",0,0,60,0,0,1,46,1,0,0,2,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0
"206639",1,0,0,0,0,0,0,0,0,0,0,0,64,1,1,0,0,0,0,0,0,0,0,0,0,0
"551186",0,6,323,0,0,0,0,2,0,0,1,1,8,2,0,0,0,0,0,0,0,0,0,0,0,1
"239727",0,0,11,0,0,0,0,0,0,0,2,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0
"587919",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81294",0,2,14,0,0,4,3,0,0,1,32,0,1,13,5,0,0,0,0,0,0,0,0,0,0,1
"45521",0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"247816",0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"279599",24,23,392,30,119,26,29,67,532,8719,914391,967,130,136,1030,113,114,126,305,75,19,52,46,89,77,402
"107995",0,0,0,0,0,0,0,1,0,1,37,15,6,32,29,0,0,0,0,0,0,0,0,0,0,0
"592912",0,4,3,0,5,0,1,1,8,35,1614,1,0,1,10,4,0,1,0,1,0,1,1,0,0,0
"178178",0,0,3,0,0,0,0,0,0,0,1,1,1,5,13,0,0,0,0,0,1,0,0,0,0,0
"169488",0,0,0,0,0,0,1,0,1,0,19,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"549739",0,0,1,0,0,0,0,7,0,0,1,3,170,94,60,2,9,3,1,0,0,1,0,0,0,0
"161174",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
"557211",16,17,15,18,27,13,21,28,678,96,801,47583,3667,6219,2309,90934,4072,75245,156,31,30,42,46,165,43,55
"511714",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62920",0,0,3,0,0,0,0,0,0,0,0,0,30,5,0,0,0,0,0,0,0,0,0,0,0,0
"190926",0,19,3,0,4,5,1,2,17,154,15452,88,228,431,153,8,4,3,5,2,2,1,2,3,1,7
"49735",18,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110074",0,0,0,0,0,0,0,0,1,0,0,2,10,87,106,0,0,0,0,0,0,0,0,0,0,0
"142290",0,0,0,0,0,0,0,0,3,0,0,0,8,6,2,35,124,7,134,189,182,0,0,0,0,1
"156514",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,157,4,4,11,27,0,0,0,0,0
"11193",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,19,0,0,0,0,0,0,0,0,0
"162077",39,13,4,1436,16,4311,173,3257,31719,728,136,10,32,17,13,5,15,60,3,7,6,17,8,10,11,7
"279090",10,0,0,0,0,4,2,4,0,0,2,2,3,1,0,28,305,27,1,5,1,0,0,0,0,0
"550922",4,0,1,0,2,1,1,3,2,2,0,0,5,3,2,2,11,5,493,3689,9037,27,3,61,4,1
"6678",4,0,0,1,2,4,10239,700,25,15,8,2,3,5,3,0,8,4,2,1,0,0,3,5,3,0
